GeographyID,Average annual childcare costs paid by relevant households paying childcare costs,Childcare costs paid by relevant households as a % of median income
E01009295," £2,700.24 ",6.25%
E01009281," £2,512.35 ",5.57%
E01009292," £2,679.04 ",5.99%
E01009286," £3,176.00 ",7.07%
E01034941," £2,960.00 ",7.40%
E01009288," £2,674.74 ",5.00%
E01009283," £2,647.37 ",5.36%
E01009296," £2,798.00 ",6.76%
E01009293," £2,711.40 ",6.43%
E01009282," £2,712.40 ",6.99%
E01008961," £2,607.62 ",6.61%
E01008959," £2,557.59 ",6.72%
E01008962," £3,001.21 ",10.53%
E01008960," £2,726.19 ",5.46%
E01008956," £2,554.72 ",5.44%
E01008954," £2,651.19 ",6.49%
E01008958," £2,562.18 ",10.25%
E01009218," £2,612.48 ",4.66%
E01008951," £2,572.80 ",5.21%
E01008950," £2,887.68 ",8.11%
E01008955," £2,550.11 ",5.89%
E01008952," £2,613.31 ",6.71%
E01008957," £2,731.39 ",7.70%
E01008953," £2,808.62 ",7.53%
E01009119," £2,734.20 ",7.40%
E01009116," £2,811.46 ",5.13%
E01008977," £2,810.66 ",7.67%
E01033629," £2,845.06 ",9.76%
E01009495," £2,945.82 ",9.65%
E01008930," £2,939.64 ",9.09%
E01009497," £2,852.24 ",7.40%
E01009498," £3,064.00 ",9.99%
E01009499," £2,961.58 ",9.17%
E01009172," £3,129.98 ",9.67%
E01034944," £2,749.25 ",6.86%
E01009205," £2,611.49 ",6.22%
E01009219," £3,033.15 ",8.23%
E01009208," £2,767.66 ",6.46%
E01009213," £2,664.68 ",8.14%
E01034945," £2,882.78 ",7.95%
E01009206," £2,671.23 ",6.24%
E01009210," £2,879.31 ",8.79%
E01009209," £2,709.57 ",8.18%
E01009207," £2,798.03 ",6.15%
E01009162," £2,537.93 ",6.71%
E01009158," £3,019.96 ",8.79%
E01009117," £3,360.18 ",14.47%
E01009217," £2,635.33 ",6.35%
E01009211," £2,399.17 ",6.15%
E01009214," £2,863.70 ",10.47%
E01009212," £2,635.94 ",8.79%
E01009216," £2,809.62 ",8.20%
E01009112," £2,891.72 ",7.90%
E01009215," £2,791.89 ",11.26%
E01009168," £2,744.16 ",7.12%
E01009166," £2,866.47 ",8.61%
E01009170," £2,620.82 ",6.69%
E01034942," £3,133.00 ",8.01%
E01009159," £2,625.42 ",5.62%
E01009173," £3,051.98 ",9.57%
E01009250," £2,593.93 ",6.23%
E01009253," £2,580.89 ",5.94%
E01009251," £2,605.44 ",5.41%
E01009249," £2,685.13 ",7.09%
E01009257," £2,999.26 ",8.51%
E01009256," £2,840.32 ",7.53%
E01009255," £2,912.00 ",8.34%
E01009259," £2,894.15 ",10.19%
E01009254," £2,659.08 ",7.32%
E01009073," £2,961.79 ",13.07%
E01009074," £3,104.34 ",11.23%
E01009258," £2,876.65 ",9.49%
E01008919," £2,793.69 ",8.02%
E01008918," £2,889.29 ",10.96%
E01008920," £2,680.47 ",7.28%
E01008917," £2,687.33 ",6.73%
E01008923," £2,907.00 ",10.35%
E01008921," £2,780.27 ",8.07%
E01008931," £2,867.67 ",10.33%
E01008928," £2,631.70 ",9.74%
E01008925," £2,737.98 ",7.02%
E01008927," £2,744.72 ",10.87%
E01009299," £3,089.64 ",10.38%
E01009301," £2,869.23 ",10.78%
E01009300," £3,040.01 ",10.34%
E01009303," £2,721.41 ",9.00%
E01009512," £3,062.07 ",8.94%
E01009297," £2,588.65 ",8.31%
E01009302," £2,622.30 ",7.47%
E01009507," £3,161.29 ",11.95%
E01009509," £3,427.01 ",9.60%
E01009510," £2,916.68 ",10.35%
E01009508," £3,040.19 ",8.40%
E01009511," £3,406.86 ",11.07%
E01009095," £3,107.63 ",8.82%
E01009092," £3,366.27 ",11.83%
E01009094," £3,155.11 ",9.51%
E01009311," £3,353.11 ",10.78%
E01009298," £3,255.23 ",10.32%
E01009093," £3,185.47 ",10.27%
E01009091," £2,861.89 ",9.24%
E01009089," £3,555.11 ",8.23%
E01009087," £3,289.58 ",8.18%
E01009305," £2,902.52 ",11.60%
E01009088," £3,093.65 ",10.35%
E01009307," £2,905.15 ",10.53%
E01009309," £2,841.88 ",9.73%
E01009304," £2,871.96 ",9.46%
E01009306," £2,867.99 ",8.94%
E01009310," £2,855.42 ",9.85%
E01009308," £3,131.22 ",11.58%
E01009097," £3,299.40 ",15.07%
E01009099," £3,280.32 ",16.31%
E01009101," £3,082.20 ",12.88%
E01009106," £3,090.00 ",13.88%
E01009103," £3,417.11 ",16.51%
E01010124," £2,572.09 ",5.77%
E01010121," £2,586.90 ",5.61%
E01010117," £2,561.38 ",5.56%
E01010119," £2,694.03 ",6.53%
E01010234," £2,997.29 ",10.71%
E01010238," £3,072.68 ",13.11%
E01010236," £3,305.13 ",14.37%
E01010123," £2,740.12 ",6.11%
E01010240," £3,101.79 ",12.17%
E01010239," £3,124.81 ",10.70%
E01010237," £2,998.78 ",9.51%
E01010146," £3,127.35 ",10.96%
E01010145," £2,902.89 ",8.62%
E01010235," £3,374.12 ",13.18%
E01009085," £3,699.61 ",8.02%
E01009084," £3,773.41 ",9.01%
E01009081," £3,176.88 ",11.69%
E01009083," £3,353.93 ",11.73%
E01009080," £3,319.39 ",13.41%
E01009082," £3,212.05 ",10.03%
E01009079," £2,966.72 ",10.69%
E01010122," £2,356.95 ",5.25%
E01010118," £2,783.99 ",7.15%
E01010120," £2,746.55 ",9.96%
E01010140," £3,229.07 ",13.10%
E01010142," £3,286.71 ",15.84%
E01010144," £2,833.14 ",9.67%
E01010143," £3,160.55 ",12.70%
E01010113," £3,046.88 ",9.69%
E01010141," £2,858.27 ",12.49%
E01010129," £2,984.60 ",11.46%
E01010111," £2,961.34 ",12.52%
E01010114," £2,622.79 ",5.93%
E01010125," £2,863.29 ",11.13%
E01010148," £3,354.63 ",13.57%
E01010149," £2,851.61 ",7.59%
E01010147," £3,255.56 ",13.61%
E01010139," £3,045.47 ",10.15%
E01010127," £2,940.35 ",9.51%
E01010126," £3,111.44 ",12.98%
E01010130," £3,140.74 ",13.69%
E01010128," £3,222.29 ",11.64%
E01010110," £2,416.85 ",5.10%
E01010112," £2,767.04 ",7.78%
E01010131," £3,038.47 ",12.48%
E01009109," £3,337.05 ",13.32%
E01009118," £2,652.50 ",7.60%
E01009108," £2,380.70 ",5.37%
E01009111," £2,765.80 ",6.78%
E01009114," £2,882.63 ",9.76%
E01009107," £2,880.87 ",11.57%
E01009113," £3,004.13 ",9.87%
E01009110," £2,802.63 ",9.17%
E01009115," £2,760.84 ",9.11%
E01009240," £2,950.89 ",8.15%
E01009238," £2,755.23 ",6.53%
E01009245," £2,914.01 ",7.58%
E01009246," £2,759.11 ",7.41%
E01009235," £2,925.37 ",7.58%
E01010008," £3,078.64 ",8.89%
E01009237," £3,004.33 ",8.81%
E01010011," £2,896.71 ",7.23%
E01009236," £3,098.52 ",8.60%
E01010010," £2,936.20 ",11.47%
E01009241," £3,118.64 ",8.27%
E01009239," £2,945.91 ",8.73%
E01009244," £2,848.86 ",8.06%
E01009234," £2,794.91 ",7.56%
E01009248," £2,842.11 ",7.74%
E01009243," £2,833.89 ",7.21%
E01009247," £3,110.17 ",8.15%
E01009225," £2,876.27 ",10.27%
E01009223," £2,753.44 ",7.22%
E01010009," £3,352.95 ",11.63%
E01010014," £2,712.83 ",7.29%
E01010007," £2,933.06 ",9.22%
E01010013," £2,826.24 ",7.54%
E01010012," £2,835.68 ",6.91%
E01009974," £2,638.35 ",6.05%
E01009968," £2,511.94 ",5.99%
E01009949," £2,634.88 ",5.48%
E01009975," £2,563.24 ",5.97%
E01009972," £2,816.68 ",6.74%
E01010334," £2,788.87 ",4.92%
E01010358," £2,787.90 ",7.27%
E01010356," £2,695.47 ",6.40%
E01010357," £2,633.85 ",5.96%
E01010360," £2,785.26 ",7.17%
E01010359," £2,898.89 ",7.65%
E01010355," £2,702.13 ",7.60%
E01009220," £2,940.39 ",8.53%
E01009233," £2,964.94 ",9.33%
E01009137," £3,047.29 ",9.55%
E01009134," £2,991.51 ",10.39%
E01009131," £3,239.92 ",10.03%
E01009231," £3,021.63 ",7.96%
E01009133," £2,913.64 ",10.12%
E01009130," £3,183.32 ",10.68%
E01009128," £3,042.22 ",9.48%
E01009129," £3,291.23 ",11.00%
E01009127," £3,312.69 ",11.24%
E01009469," £2,525.71 ",5.06%
E01009221," £2,805.71 ",7.08%
E01009227," £2,798.13 ",7.63%
E01009230," £2,712.15 ",7.73%
E01009229," £2,885.27 ",7.91%
E01009226," £2,726.30 ",8.11%
E01009228," £2,961.77 ",8.55%
E01009224," £3,003.00 ",8.94%
E01009222," £3,117.70 ",9.92%
E01034943," £2,666.32 ",9.70%
E01009174," £3,026.09 ",9.66%
E01009157," £2,838.06 ",9.74%
E01009160," £2,838.64 ",12.74%
E01009161," £2,804.57 ",8.90%
E01009155," £2,742.18 ",10.03%
E01009171," £2,772.53 ",7.67%
E01009164," £2,688.88 ",7.63%
E01009169," £2,930.69 ",7.72%
E01009167," £2,911.07 ",7.76%
E01009165," £2,943.11 ",10.10%
E01009803," £2,515.56 ",4.55%
E01009802," £2,817.28 ",7.24%
E01009800," £2,494.59 ",4.90%
E01009804," £2,467.21 ",4.79%
E01009735," £2,463.93 ",5.40%
E01009793," £2,619.55 ",5.62%
E01009801," £2,479.42 ",4.96%
E01009796," £2,831.31 ",7.09%
E01009734," £2,924.50 ",8.88%
E01009792," £2,995.29 ",8.96%
E01009795," £2,892.90 ",8.90%
E01009805," £2,411.49 ",5.97%
E01009959," £2,534.59 ",5.48%
E01009797," £2,430.12 ",7.43%
E01009794," £2,750.68 ",7.01%
E01009798," £2,776.09 ",6.60%
E01009791," £2,758.84 ",6.59%
E01009807," £2,613.34 ",5.66%
E01009810," £2,676.86 ",6.86%
E01009808," £2,481.38 ",4.93%
E01009811," £2,602.98 ",6.38%
E01009812," £2,582.60 ",4.77%
E01009809," £3,308.90 ",11.49%
E01009813," £2,943.08 ",8.76%
E01009863," £3,099.34 ",8.00%
E01009861," £2,856.85 ",7.78%
E01009862," £2,843.09 ",8.23%
E01009868," £2,737.81 ",7.88%
E01009870," £2,589.95 ",6.78%
E01009869," £2,743.72 ",6.85%
E01009733," £2,699.49 ",12.84%
E01009806," £2,607.46 ",6.84%
E01009799," £2,317.13 ",5.67%
E01009737," £2,564.49 ",6.64%
E01009736," £2,648.84 ",6.28%
E01009739," £2,920.77 ",7.72%
E01009738," £3,056.19 ",7.92%
E01009732," £2,719.08 ",7.60%
E01009953," £2,706.05 ",9.07%
E01009955," £2,972.71 ",10.03%
E01010042," £2,811.92 ",8.73%
E01010039," £3,397.92 ",11.13%
E01009871," £2,807.23 ",8.61%
E01009956," £3,111.45 ",10.22%
E01009957," £3,635.71 ",14.56%
E01009952," £3,104.98 ",12.40%
E01009933," £3,219.14 ",10.16%
E01009931," £2,657.99 ",6.32%
E01009958," £2,590.02 ",5.63%
E01009954," £3,064.19 ",10.92%
E01009999," £3,169.98 ",9.88%
E01009932," £2,889.51 ",11.62%
E01010004," £2,895.75 ",11.05%
E01009929," £3,403.53 ",14.45%
E01009930," £3,128.99 ",11.32%
E01009936," £2,650.75 ",7.46%
E01010001," £3,164.54 ",11.66%
E01010006," £2,844.44 ",7.49%
E01010038," £3,391.92 ",11.75%
E01010040," £3,037.56 ",9.10%
E01010044," £3,196.12 ",11.55%
E01010043," £2,726.62 ",6.85%
E01009935," £2,943.11 ",11.73%
E01010045," £3,257.54 ",10.52%
E01010079," £2,575.71 ",6.63%
E01010077," £3,170.09 ",13.63%
E01010078," £2,472.20 ",6.09%
E01010041," £3,043.30 ",11.36%
E01010080," £3,594.01 ",14.87%
E01010054," £2,977.54 ",13.92%
E01010053," £3,604.30 ",11.49%
E01010049," £3,073.85 ",10.80%
E01010047," £3,642.49 ",10.54%
E01010046," £3,718.86 ",10.48%
E01010052," £3,856.88 ",14.66%
E01010048," £3,449.63 ",10.86%
E01010062," £3,032.63 ",12.20%
E01033891," £3,002.05 ",16.21%
E01010064," £3,174.97 ",10.97%
E01010061," £3,897.26 ",13.10%
E01010057," £3,433.88 ",11.95%
E01010060," £3,192.22 ",10.56%
E01009921," £2,704.73 ",7.21%
E01009927," £2,722.28 ",6.61%
E01009928," £2,844.69 ",8.96%
E01010058," £3,268.11 ",13.61%
E01010059," £3,449.85 ",10.65%
E01009924," £2,626.98 ",5.69%
E01009926," £2,681.33 ",6.03%
E01009925," £2,531.80 ",4.71%
E01009922," £3,062.06 ",9.79%
E01009923," £2,850.32 ",7.51%
E01009938," £3,312.38 ",11.53%
E01009940," £3,101.37 ",10.92%
E01010055," £3,247.36 ",10.15%
E01009944," £3,309.86 ",11.84%
E01009937," £3,405.40 ",13.38%
E01009943," £3,567.26 ",12.75%
E01010056," £3,244.93 ",11.72%
E01010050," £3,136.18 ",9.31%
E01010051," £3,210.22 ",10.50%
E01010020," £3,492.68 ",11.16%
E01010027," £2,699.12 ",5.80%
E01010023," £2,754.18 ",7.19%
E01010022," £2,744.71 ",6.99%
E01010024," £2,682.20 ",6.16%
E01010028," £3,223.25 ",13.43%
E01010025," £3,272.68 ",13.64%
E01010026," £3,056.67 ",8.99%
E01009939," £2,909.74 ",7.58%
E01010000," £2,817.06 ",7.98%
E01010005," £2,896.33 ",8.07%
E01009941," £2,938.30 ",8.59%
E01010021," £3,180.74 ",10.50%
E01010019," £3,402.87 ",11.75%
E01010003," £2,723.92 ",10.71%
E01009942," £3,415.09 ",12.66%
E01010081," £2,771.86 ",7.25%
E01009934," £3,098.15 ",12.48%
E01010082," £3,066.03 ",7.62%
E01010084," £3,765.70 ",14.44%
E01010083," £3,364.93 ",12.15%
E01010018," £2,881.63 ",8.72%
E01010015," £3,046.98 ",8.82%
E01010016," £3,477.92 ",11.61%
E01010017," £3,007.90 ",11.33%
E01010073," £3,006.50 ",9.59%
E01010069," £3,077.72 ",7.64%
E01010002," £3,026.73 ",7.79%
E01009981," £3,196.11 ",11.61%
E01033888," £3,142.18 ",11.83%
E01010095," £3,335.39 ",11.83%
E01010093," £2,953.61 ",10.87%
E01009979," £2,895.89 ",15.38%
E01010094," £3,061.67 ",8.76%
E01010100," £2,899.41 ",8.36%
E01009991," £3,177.28 ",11.24%
E01010098," £3,152.59 ",12.26%
E01010107," £2,968.42 ",10.80%
E01010102," £3,051.75 ",11.58%
E01009988," £3,229.74 ",10.92%
E01010101," £2,729.74 ",11.67%
E01010105," £2,999.36 ",7.77%
E01010106," £3,043.42 ",9.66%
E01009989," £3,236.34 ",11.13%
E01010104," £2,559.24 ",9.56%
E01009986," £3,433.66 ",11.18%
E01009987," £3,302.32 ",14.05%
E01009985," £3,340.30 ",12.99%
E01010103," £2,896.39 ",10.96%
E01033889," £3,478.98 ",11.54%
E01009946," £2,582.35 ",6.31%
E01009997," £3,199.84 ",11.57%
E01009998," £3,124.91 ",11.31%
E01009947," £2,904.12 ",7.92%
E01009993," £3,184.68 ",12.90%
E01009992," £3,341.72 ",11.10%
E01010099," £3,018.02 ",9.55%
E01009995," £2,938.47 ",9.09%
E01009996," £3,205.06 ",14.57%
E01009994," £3,056.59 ",9.83%
E01009950," £2,831.06 ",7.98%
E01032592," £2,804.19 ",7.83%
E01009948," £2,530.36 ",6.14%
E01009951," £2,723.18 ",13.18%
E01009973," £3,198.84 ",7.51%
E01009462," £2,469.48 ",5.62%
E01009463," £2,386.50 ",4.18%
E01009471," £2,537.29 ",4.55%
E01009459," £2,523.29 ",4.40%
E01009457," £2,440.29 ",4.15%
E01009437," £2,583.14 ",5.19%
E01009453," £2,730.23 ",5.29%
E01009449," £2,476.40 ",5.07%
E01009451," £2,721.03 ",6.24%
E01009424," £2,554.47 ",5.30%
E01009473," £2,688.79 ",6.01%
E01009474," £2,532.97 ",4.86%
E01009456," £2,467.19 ",4.20%
E01009466," £2,339.62 ",3.99%
E01009468," £2,543.64 ",4.83%
E01009430," £2,397.84 ",3.41%
E01009470," £2,591.51 ",4.48%
E01009467," £2,695.23 ",5.92%
E01009465," £2,777.46 ",5.32%
E01009464," £2,692.69 ",5.28%
E01010391," £2,631.80 ",5.62%
E01010389," £2,417.41 ",4.57%
E01010390," £2,624.78 ",5.65%
E01010387," £2,601.01 ",5.36%
E01009427," £2,364.41 ",4.36%
E01010386," £2,544.50 ",5.30%
E01010385," £2,355.25 ",4.00%
E01009428," £2,356.51 ",4.02%
E01009431," £2,464.02 ",4.18%
E01009425," £2,675.23 ",5.74%
E01010392," £2,616.47 ",5.18%
E01010388," £2,411.24 ",4.16%
E01010384," £2,859.00 ",5.86%
E01009422," £2,591.12 ",5.09%
E01009421," £2,445.51 ",3.70%
E01009415," £2,478.48 ",4.41%
E01009418," £2,619.09 ",6.44%
E01009433," £2,581.54 ",4.69%
E01009419," £2,961.50 ",6.18%
E01009417," £2,515.32 ",4.46%
E01009429," £2,471.95 ",4.01%
E01009423," £2,574.10 ",5.68%
E01009416," £2,696.63 ",4.62%
E01009420," £2,754.91 ",5.68%
E01009426," £2,581.03 ",4.76%
E01009444," £2,565.04 ",4.60%
E01009447," £2,803.15 ",6.25%
E01009432," £2,584.26 ",6.04%
E01009446," £2,709.32 ",5.72%
E01009448," £2,766.21 ",7.29%
E01009450," £2,558.67 ",5.90%
E01009454," £2,552.67 ",5.29%
E01009445," £2,926.61 ",8.74%
E01009452," £2,723.69 ",6.31%
E01009438," £2,461.93 ",4.77%
E01009436," £2,401.51 ",4.02%
E01009442," £2,725.65 ",6.24%
E01009439," £2,613.61 ",5.63%
E01009435," £2,508.54 ",4.37%
E01009440," £2,590.22 ",5.35%
E01009455," £2,508.89 ",7.96%
E01009443," £2,596.83 ",5.85%
E01009434," £2,461.66 ",4.67%
E01009441," £2,649.93 ",7.19%
E01010219," £2,706.74 ",5.95%
E01010221," £2,674.49 ",6.12%
E01010222," £2,597.13 ",5.85%
E01032885," £2,627.18 ",5.52%
E01032886," £2,578.18 ",4.30%
E01010181," £2,360.91 ",3.80%
E01010210," £2,283.27 ",4.25%
E01010208," £2,712.39 ",5.61%
E01010223," £2,845.57 ",6.46%
E01010220," £2,727.69 ",5.45%
E01010217," £2,518.42 ",5.15%
E01032590," £2,825.02 ",5.95%
E01010225," £2,710.87 ",5.52%
E01010211," £2,617.35 ",7.32%
E01010201," £2,725.79 ",5.36%
E01010206," £2,719.88 ",4.90%
E01010200," £2,825.62 ",7.56%
E01010203," £2,680.24 ",6.46%
E01010204," £2,862.73 ",8.77%
E01010199," £2,771.88 ",4.91%
E01010205," £2,549.63 ",4.46%
E01010213," £2,714.37 ",6.61%
E01010183," £2,502.36 ",4.90%
E01010215," £2,777.95 ",5.49%
E01010207," £2,392.41 ",4.19%
E01010214," £2,515.43 ",4.53%
E01010180," £2,254.84 ",4.32%
E01010212," £2,482.35 ",3.89%
E01010216," £2,713.92 ",4.59%
E01010209," £2,828.94 ",6.01%
E01010195," £2,484.72 ",3.67%
E01010192," £2,446.68 ",4.33%
E01010231," £2,481.29 ",4.14%
E01010226," £2,538.80 ",5.72%
E01010229," £2,646.61 ",4.27%
E01010173," £2,802.81 ",4.43%
E01010196," £2,310.05 ",3.55%
E01010197," £2,573.25 ",3.83%
E01010191," £2,560.31 ",4.82%
E01010202," £2,668.16 ",4.66%
E01010230," £2,823.83 ",6.42%
E01010172," £2,449.79 ",4.23%
E01010135," £2,924.04 ",7.13%
E01010233," £2,880.95 ",6.64%
E01010228," £2,700.07 ",6.01%
E01010232," £2,717.08 ",7.46%
E01010227," £2,344.55 ",4.19%
E01010154," £2,454.61 ",4.34%
E01010115," £2,628.98 ",5.47%
E01010194," £2,382.60 ",3.91%
E01010198," £2,369.84 ",4.23%
E01010190," £2,714.19 ",4.33%
E01010193," £2,377.19 ",3.31%
E01010108," £2,443.66 ",4.02%
E01010168," £2,401.46 ",4.30%
E01010116," £2,587.48 ",4.29%
E01010179," £2,489.58 ",5.80%
E01010175," £2,487.57 ",4.73%
E01010160," £2,812.85 ",7.03%
E01010163," £2,931.18 ",5.97%
E01010159," £2,985.99 ",6.71%
E01010161," £2,744.79 ",5.68%
E01010158," £3,004.22 ",9.43%
E01010136," £2,682.08 ",5.22%
E01010133," £2,818.06 ",6.75%
E01010132," £2,888.93 ",7.38%
E01010137," £2,940.88 ",9.26%
E01010134," £2,873.29 ",6.50%
E01010167," £2,534.38 ",4.63%
E01010151," £2,594.01 ",5.67%
E01010153," £2,531.28 ",3.94%
E01010155," £2,614.51 ",4.83%
E01010152," £2,515.97 ",3.87%
E01010184," £2,704.85 ",5.69%
E01010188," £2,515.13 ",3.44%
E01010185," £2,433.13 ",3.64%
E01010186," £2,637.44 ",4.69%
E01010187," £2,589.48 ",3.55%
E01010150," £2,438.19 ",3.88%
E01010156," £2,581.26 ",4.29%
E01010189," £2,680.44 ",4.69%
E01034743," £2,411.81 ",9.72%
E01034744," £2,788.16 ",10.56%
E01009638," £3,008.24 ",15.72%
E01009634," £2,935.96 ",9.24%
E01009633," £3,000.44 ",9.85%
E01034750," £2,944.29 ",7.18%
E01034742," £2,923.90 ",10.45%
E01009548," £2,717.23 ",6.95%
E01034741," £2,743.42 ",9.87%
E01009650," £2,710.26 ",8.34%
E01009651," £2,783.36 ",14.14%
E01009689," £2,731.07 ",8.17%
E01009553," £2,663.22 ",7.76%
E01009688," £2,699.11 ",7.77%
E01009632," £2,708.94 ",11.64%
E01009631," £3,144.33 ",12.12%
E01009630," £3,031.19 ",9.66%
E01009573," £3,685.00 ",13.47%
E01034738," £2,917.91 ",8.88%
E01034737," £3,327.39 ",8.86%
E01009574," £3,576.23 ",14.16%
E01009637," £4,062.17 ",15.35%
E01009566," £3,469.90 ",12.28%
E01009639," £3,597.92 ",11.10%
E01009640," £3,707.40 ",14.64%
E01009641," £3,081.49 ",13.81%
E01009709," £3,824.69 ",18.87%
E01009581," £3,192.63 ",12.38%
E01009579," £3,421.29 ",14.35%
E01009599," £2,873.62 ",9.63%
E01009585," £3,685.28 ",13.31%
E01009577," £3,369.43 ",15.11%
E01009584," £3,083.62 ",8.64%
E01009608," £3,157.21 ",10.14%
E01009605," £3,139.44 ",12.55%
E01009607," £3,000.45 ",15.12%
E01032536," £2,762.63 ",7.95%
E01032537," £2,746.14 ",8.04%
E01009586," £2,909.48 ",8.01%
E01009576," £2,764.51 ",8.26%
E01009582," £2,807.34 ",7.69%
E01009580," £2,819.09 ",7.86%
E01009583," £2,946.80 ",8.15%
E01009710," £2,748.76 ",7.96%
E01009717," £2,780.33 ",6.59%
E01009715," £3,029.65 ",8.64%
E01009578," £2,694.68 ",6.04%
E01009712," £2,862.36 ",7.15%
E01009711," £2,833.97 ",7.83%
E01009657," £2,943.75 ",7.17%
E01009714," £2,885.93 ",7.31%
E01009658," £3,061.60 ",7.96%
E01009654," £2,885.33 ",7.33%
E01009614," £2,798.83 ",6.79%
E01009613," £2,810.72 ",6.55%
E01009716," £3,077.41 ",7.74%
E01009656," £2,980.88 ",11.10%
E01009655," £3,307.86 ",10.66%
E01009664," £3,091.23 ",8.59%
E01009663," £2,807.20 ",8.06%
E01009616," £2,829.24 ",7.39%
E01009617," £2,903.17 ",7.27%
E01009615," £2,806.75 ",6.93%
E01009660," £3,061.11 ",8.37%
E01009661," £3,031.73 ",10.19%
E01009636," £3,217.53 ",11.06%
E01009659," £3,180.95 ",13.31%
E01009713," £2,993.33 ",7.35%
E01009718," £2,952.97 ",13.11%
E01009708," £2,728.50 ",7.34%
E01009618," £2,737.39 ",6.10%
E01034749," £2,935.99 ",8.75%
E01009621," £2,938.80 ",8.73%
E01009612," £3,424.53 ",13.98%
E01034746," £3,574.98 ",16.74%
E01034745," £3,273.77 ",7.92%
E01009620," £2,816.85 ",6.48%
E01009537," £3,100.22 ",10.40%
E01009707," £2,832.46 ",6.15%
E01009536," £2,872.78 ",6.67%
E01009532," £2,847.18 ",7.50%
E01009538," £3,038.29 ",9.73%
E01032527," £3,095.07 ",9.43%
E01009543," £2,531.78 ",4.13%
E01009535," £2,829.96 ",7.26%
E01032528," £3,058.42 ",10.63%
E01009542," £3,096.02 ",11.52%
E01009540," £3,491.38 ",15.86%
E01009539," £3,053.70 ",12.66%
E01009541," £2,851.38 ",11.42%
E01009544," £2,733.81 ",8.05%
E01032530," £2,633.63 ",6.70%
E01032529," £2,774.79 ",10.40%
