GeographyID,Average annual childcare costs paid by relevant households paying childcare costs,Childcare costs paid by relevant households as a % of median income
E01009561," £2,618.52 ",7.33%
E01009562," £2,842.60 ",6.71%
E01009563," £2,532.80 ",4.43%
E01009560," £2,407.73 ",3.94%
E01009552," £2,816.45 ",7.75%
E01009549," £2,496.27 ",5.38%
E01032534," £3,084.78 ",9.51%
E01009550," £2,832.49 ",6.76%
E01032535," £2,762.17 ",5.79%
E01009668," £2,926.39 ",6.54%
E01009669," £2,891.14 ",5.37%
E01009672," £2,519.97 ",4.93%
E01009666," £2,818.17 ",5.44%
E01009670," £2,805.02 ",5.69%
E01009559," £2,238.11 ",3.96%
E01009667," £2,629.02 ",5.79%
E01009557," £2,168.24 ",3.61%
E01009671," £2,670.98 ",3.90%
E01033058," £2,843.50 ",7.09%
E01009665," £2,434.07 ",4.31%
E01032533," £2,849.95 ",5.27%
E01009679," £2,927.81 ",8.22%
E01032532," £2,584.48 ",6.06%
E01034747," £3,226.69 ",11.63%
E01034748," £2,987.30 ",13.44%
E01009683," £3,136.76 ",8.46%
E01009676," £2,798.94 ",7.10%
E01034739," £2,717.95 ",6.23%
E01009701," £2,691.88 ",8.85%
E01010166," £2,575.17 ",4.39%
E01009702," £2,814.83 ",11.21%
E01009699," £2,737.42 ",7.17%
E01009686," £2,628.90 ",5.74%
E01009682," £2,697.61 ",6.33%
E01009681," £2,621.65 ",6.21%
E01009697," £2,828.05 ",6.27%
E01034740," £2,910.59 ",7.82%
E01009674," £3,002.75 ",10.51%
E01009700," £2,822.68 ",12.77%
E01009554," £2,586.58 ",5.54%
E01009555," £2,539.61 ",4.87%
E01009556," £2,545.91 ",6.06%
E01009687," £2,735.39 ",6.44%
E01009690," £2,679.59 ",7.02%
E01009691," £2,789.51 ",7.31%
E01009558," £2,520.21 ",4.92%
E01009696," £2,600.62 ",5.90%
E01009695," £2,517.07 ",5.99%
E01009698," £2,466.15 ",5.25%
E01009706," £2,590.73 ",6.12%
E01009705," £2,702.74 ",5.44%
E01009704," £2,494.33 ",4.88%
E01009684," £2,816.73 ",10.21%
E01009685," £2,601.86 ",6.47%
E01009649," £2,801.21 ",6.71%
E01009646," £2,776.94 ",6.01%
E01009694," £2,785.63 ",6.81%
E01009643," £2,718.46 ",6.11%
E01009652," £2,519.21 ",5.92%
E01009647," £2,912.62 ",7.68%
E01009648," £2,686.01 ",5.83%
E01009526," £3,062.34 ",6.50%
E01010164," £2,512.69 ",4.88%
E01009523," £2,384.76 ",4.88%
E01009531," £2,759.02 ",7.82%
E01009528," £2,683.13 ",5.76%
E01009693," £2,652.78 ",6.86%
E01009692," £2,583.61 ",6.21%
E01009645," £2,724.19 ",6.33%
E01009644," £2,816.67 ",6.52%
E01009653," £2,776.03 ",6.52%
E01009522," £2,711.07 ",7.51%
E01009628," £2,947.21 ",8.13%
E01009627," £2,910.04 ",9.31%
E01009530," £2,763.78 ",6.34%
E01009529," £2,771.51 ",6.69%
E01009524," £2,603.47 ",7.53%
E01009527," £2,966.86 ",7.41%
E01009525," £2,737.74 ",6.76%
E01009594," £2,533.89 ",5.71%
E01009590," £2,727.34 ",6.73%
E01009591," £3,110.87 ",8.15%
E01009598," £2,740.01 ",7.00%
E01009622," £3,381.95 ",11.75%
E01009623," £3,039.74 ",9.69%
E01009625," £3,117.07 ",7.56%
E01009624," £3,282.22 ",9.61%
E01009626," £3,205.30 ",8.43%
E01009587," £3,180.31 ",8.83%
E01009596," £3,466.39 ",9.95%
E01009597," £3,191.72 ",9.04%
E01009588," £3,096.82 ",11.02%
E01009593," £3,052.00 ",8.32%
E01032587," £3,396.14 ",9.93%
E01009592," £3,320.40 ",10.75%
E01009589," £3,147.59 ",8.47%
E01009570," £3,444.07 ",10.97%
E01034735," £2,989.73 ",8.13%
E01009567," £3,568.87 ",12.59%
E01009571," £3,371.15 ",14.85%
E01009569," £3,724.47 ",13.99%
E01034736," £3,870.29 ",15.57%
E01009565," £4,088.63 ",11.88%
E01009564," £3,466.11 ",10.75%
E01009568," £3,834.40 ",11.50%
E01009575," £3,498.37 ",11.31%
E01032538," £2,958.38 ",9.78%
E01009604," £3,102.08 ",8.95%
E01009606," £3,075.26 ",7.93%
E01009610," £3,170.35 ",10.93%
E01009609," £3,380.49 ",10.97%
E01009662," £2,959.08 ",9.32%
E01010171," £2,663.46 ",4.79%
E01010170," £2,480.78 ",3.62%
E01010169," £2,557.81 ",4.64%
E01010165," £2,768.81 ",6.43%
E01034309," £2,578.32 ",12.23%
E01034308," £2,865.57 ",10.93%
E01009757," £2,948.15 ",7.51%
E01009892," £3,255.59 ",13.54%
E01009889," £2,949.70 ",9.88%
E01009840," £3,208.90 ",10.63%
E01009885," £3,115.83 ",11.24%
E01009886," £2,909.69 ",12.58%
E01009879," £2,915.99 ",8.15%
E01009844," £3,325.51 ",12.86%
E01009841," £3,079.87 ",11.83%
E01009839," £3,224.37 ",9.56%
E01009780," £2,627.27 ",5.02%
E01009880," £2,630.92 ",5.38%
E01009884," £2,966.09 ",10.52%
E01009786," £3,108.96 ",12.11%
E01009883," £3,086.88 ",10.35%
E01009882," £3,035.87 ",8.05%
E01009784," £2,536.10 ",4.98%
E01009787," £2,455.63 ",4.76%
E01034306," £3,908.69 ",16.01%
E01009762," £4,117.62 ",15.61%
E01009756," £3,541.46 ",12.56%
E01009758," £3,434.97 ",11.32%
E01009760," £3,193.37 ",9.52%
E01009774," £2,866.15 ",7.35%
E01034307," £3,554.68 ",11.25%
E01009776," £2,653.37 ",6.38%
E01009790," £2,927.16 ",9.80%
E01009775," £3,140.17 ",9.21%
E01009893," £3,889.05 ",15.11%
E01009891," £3,636.31 ",11.79%
E01009876," £3,110.80 ",9.59%
E01009877," £3,289.84 ",12.45%
E01009874," £3,373.70 ",10.58%
E01009878," £2,869.57 ",6.96%
E01009872," £3,321.00 ",10.65%
E01009873," £2,765.17 ",7.90%
E01009842," £3,141.22 ",12.52%
E01009894," £3,236.21 ",8.71%
E01009888," £2,972.45 ",7.30%
E01009890," £3,346.97 ",11.95%
E01009887," £3,029.31 ",8.93%
E01009843," £2,549.93 ",7.30%
E01009875," £3,097.25 ",10.17%
E01009771," £2,698.96 ",7.70%
E01009772," £3,166.33 ",10.14%
E01009773," £2,882.40 ",9.11%
E01009778," £2,659.64 ",6.48%
E01009777," £3,046.63 ",9.64%
E01010532," £2,794.17 ",9.00%
E01009901," £2,244.84 ",5.40%
E01009895," £2,738.06 ",7.35%
E01009788," £2,924.17 ",10.60%
E01009898," £2,507.87 ",6.66%
E01009781," £2,621.27 ",7.60%
E01009789," £2,496.47 ",6.32%
E01009782," £3,230.60 ",10.19%
E01009783," £3,220.86 ",10.27%
E01009779," £2,632.34 ",8.02%
E01009785," £2,538.88 ",6.43%
E01009900," £2,593.84 ",6.35%
E01009899," £2,444.00 ",5.76%
E01009897," £2,541.91 ",5.79%
E01009896," £2,719.01 ",6.51%
E01009902," £2,257.31 ",5.19%
E01010037," £3,539.02 ",11.91%
E01010035," £2,634.90 ",6.90%
E01010034," £2,652.71 ",5.95%
E01010031," £2,887.45 ",13.19%
E01010097," £2,903.77 ",8.54%
E01009982," £3,463.54 ",10.92%
E01010029," £3,657.25 ",17.44%
E01010033," £2,795.21 ",13.18%
E01009977," £3,030.04 ",9.20%
E01009983," £3,157.03 ",12.09%
E01009978," £3,094.58 ",10.61%
E01009980," £3,157.83 ",10.28%
E01009976," £2,946.65 ",7.26%
E01010072," £3,072.86 ",9.77%
E01010067," £3,057.44 ",11.87%
E01010071," £3,002.14 ",10.99%
E01010068," £3,103.76 ",9.30%
E01009759," £2,779.33 ",7.31%
E01009769," £3,197.50 ",13.10%
E01010070," £2,913.47 ",9.46%
E01010076," £3,067.28 ",10.44%
E01010075," £3,156.94 ",7.41%
E01010066," £3,081.46 ",13.95%
E01033887," £3,090.52 ",9.74%
E01033886," £3,441.97 ",10.26%
E01010030," £3,127.04 ",16.00%
E01010036," £3,315.03 ",10.10%
E01010032," £3,946.50 ",16.38%
E01009865," £3,075.96 ",10.74%
E01009864," £3,162.48 ",8.72%
E01009746," £2,978.79 ",10.16%
E01009866," £2,875.89 ",7.95%
E01009754," £3,232.02 ",10.22%
E01009752," £3,499.72 ",12.02%
E01009741," £2,732.11 ",11.37%
E01009744," £2,938.83 ",9.81%
E01009727," £2,578.78 ",5.22%
E01009728," £2,642.85 ",5.74%
E01009867," £2,853.83 ",8.47%
E01009724," £2,459.05 ",5.35%
E01009719," £2,690.18 ",6.78%
E01009729," £3,094.22 ",8.70%
E01009722," £2,574.91 ",6.71%
E01009720," £2,370.00 ",4.42%
E01009723," £2,544.20 ",4.98%
E01009726," £2,541.40 ",6.02%
E01009740," £3,323.39 ",9.60%
E01009743," £3,527.21 ",13.05%
E01009731," £2,536.89 ",5.89%
E01009730," £2,496.58 ",4.90%
E01009747," £3,047.46 ",9.85%
E01009742," £3,276.13 ",11.23%
E01009753," £3,692.29 ",14.03%
E01009751," £3,084.11 ",10.39%
E01009749," £2,623.10 ",6.00%
E01009748," £3,404.85 ",12.47%
E01009750," £3,061.50 ",9.69%
E01009815," £2,311.75 ",4.11%
E01009818," £2,619.94 ",7.46%
E01009821," £2,256.16 ",5.21%
E01009817," £2,547.95 ",5.68%
E01009814," £2,543.43 ",5.73%
E01009820," £2,786.31 ",6.78%
E01009822," £2,355.97 ",5.64%
E01009819," £2,597.16 ",5.86%
E01009816," £2,641.94 ",5.75%
E01009824," £3,123.54 ",9.99%
E01009825," £2,683.81 ",7.22%
E01009830," £2,673.14 ",5.67%
E01009915," £2,704.94 ",6.50%
E01009912," £2,770.21 ",6.16%
E01009828," £2,604.68 ",7.03%
E01009823," £2,508.31 ",5.18%
E01009911," £2,289.64 ",5.82%
E01009913," £2,716.14 ",7.78%
E01009829," £2,466.94 ",5.06%
E01009827," £2,416.04 ",4.55%
E01009826," £2,391.28 ",5.49%
E01009856," £2,775.83 ",7.15%
E01009906," £2,545.53 ",8.93%
E01009908," £2,573.52 ",5.21%
E01009858," £2,694.13 ",6.58%
E01009850," £2,360.28 ",4.83%
E01009907," £2,657.31 ",6.32%
E01009859," £2,454.98 ",4.44%
E01009857," £3,021.09 ",9.28%
E01009851," £2,420.41 ",4.72%
E01009852," £2,255.04 ",4.29%
E01009845," £2,304.08 ",3.96%
E01009854," £2,671.66 ",4.91%
E01009846," £2,592.70 ",5.54%
E01009905," £2,809.48 ",6.96%
E01009848," £2,633.93 ",6.62%
E01009849," £2,792.55 ",7.35%
E01009847," £2,730.12 ",7.08%
E01009903," £2,507.15 ",5.01%
E01009904," £2,339.29 ",5.01%
E01009745," £2,487.07 ",6.13%
E01009920," £2,490.22 ",5.63%
E01009721," £2,752.47 ",7.22%
E01009909," £2,650.99 ",7.50%
E01009725," £3,308.73 ",12.88%
E01009910," £2,909.55 ",10.22%
E01009918," £3,095.86 ",10.12%
E01009916," £2,676.83 ",6.93%
E01009914," £2,170.20 ",4.89%
E01009917," £2,626.62 ",5.99%
E01009919," £2,542.48 ",6.22%
E01009855," £2,188.17 ",3.65%
E01009853," £2,351.31 ",5.10%
E01009860," £2,666.82 ",5.78%
E01009834," £2,859.79 ",9.20%
E01009836," £3,056.77 ",13.51%
E01009837," £3,016.13 ",9.15%
E01009831," £3,033.25 ",11.42%
E01009833," £3,205.31 ",10.13%
E01009835," £3,248.11 ",8.14%
E01009838," £3,185.48 ",9.72%
E01009832," £3,410.96 ",12.38%
E01010368," £2,658.43 ",11.44%
E01010369," £2,830.97 ",11.20%
E01010363," £3,041.18 ",10.32%
E01033896," £3,022.64 ",12.75%
E01010318," £2,848.99 ",11.70%
E01010326," £2,820.66 ",5.82%
E01010327," £3,510.59 ",9.83%
E01010330," £2,907.70 ",8.31%
E01010328," £3,010.88 ",5.59%
E01010370," £2,870.43 ",11.16%
E01010373," £2,873.79 ",5.70%
E01010372," £3,062.29 ",10.25%
E01010332," £2,846.87 ",5.11%
E01010339," £3,200.18 ",7.85%
E01010338," £3,587.99 ",10.50%
E01010344," £3,864.06 ",13.42%
E01010342," £3,853.14 ",13.49%
E01033897," £3,291.84 ",11.21%
E01010340," £3,551.16 ",14.39%
E01010336," £3,518.94 ",10.16%
E01010343," £3,931.49 ",13.48%
E01010341," £3,969.68 ",12.42%
E01010335," £3,414.35 ",12.37%
E01010259," £2,829.25 ",9.14%
E01010409," £3,066.23 ",10.41%
E01010261," £3,331.32 ",11.21%
E01010402," £2,930.26 ",8.24%
E01010260," £2,913.62 ",10.36%
E01010258," £3,423.56 ",15.14%
E01010266," £3,660.29 ",13.86%
E01010277," £3,233.34 ",10.47%
E01010271," £3,606.47 ",12.92%
E01010374," £3,576.64 ",11.19%
E01010375," £3,634.46 ",12.98%
E01010273," £3,610.23 ",15.10%
E01010274," £3,588.04 ",14.40%
E01010275," £3,198.58 ",12.24%
E01010267," £2,776.96 ",7.63%
E01010378," £2,802.30 ",7.60%
E01010294," £3,315.43 ",14.49%
E01010269," £3,776.87 ",13.77%
E01010268," £3,729.97 ",12.61%
E01010362," £3,686.50 ",13.12%
E01010270," £3,188.25 ",10.50%
E01010365," £3,292.33 ",14.07%
E01010361," £2,921.92 ",8.41%
E01010367," £3,602.74 ",12.12%
E01010366," £3,320.84 ",12.76%
E01010364," £3,788.51 ",13.06%
E01033895," £3,747.90 ",11.13%
E01010279," £3,274.73 ",11.98%
E01032888," £3,053.25 ",12.73%
E01010283," £3,698.24 ",12.81%
E01010289," £3,554.52 ",13.68%
E01033894," £3,520.38 ",11.46%
E01010282," £3,303.73 ",11.41%
E01010288," £3,519.38 ",12.77%
E01010286," £3,555.15 ",12.84%
E01010272," £3,069.76 ",14.26%
E01010295," £3,186.93 ",12.35%
E01010293," £2,933.64 ",10.26%
E01010292," £2,637.94 ",10.32%
E01010296," £2,443.36 ",4.94%
E01010300," £3,260.50 ",12.71%
E01010291," £3,771.36 ",13.95%
E01010298," £2,993.46 ",8.83%
E01010299," £3,630.41 ",13.79%
E01010285," £2,754.45 ",7.32%
E01010290," £2,709.99 ",10.32%
E01010284," £2,855.01 ",9.59%
E01010287," £2,820.81 ",9.88%
E01010297," £2,296.11 ",4.51%
E01010347," £2,938.00 ",10.42%
E01010350," £2,619.96 ",5.92%
E01010348," £2,917.84 ",8.60%
E01010352," £2,612.01 ",6.33%
E01010349," £2,689.55 ",8.88%
E01010351," £2,625.57 ",7.07%
E01010345," £2,611.36 ",6.37%
E01010346," £2,470.97 ",5.19%
E01010354," £2,889.00 ",8.48%
E01010353," £2,867.89 ",8.71%
E01010324," £2,796.45 ",7.85%
E01010322," £2,707.37 ",8.41%
E01010320," £3,078.83 ",10.63%
E01010325," £2,749.12 ",6.50%
E01010323," £2,783.22 ",8.43%
E01010321," £3,206.18 ",9.98%
E01010319," £2,405.74 ",4.95%
E01010317," £2,436.96 ",5.00%
E01010329," £2,704.03 ",5.75%
E01010331," £2,492.51 ",5.03%
E01010333," £2,694.58 ",5.69%
E01009969," £3,156.18 ",9.93%
E01010337," £3,103.30 ",8.65%
E01009971," £3,254.73 ",11.71%
E01009970," £3,014.41 ",9.56%
E01010306," £2,728.40 ",6.45%
E01010308," £2,793.34 ",9.55%
E01010305," £3,218.04 ",10.86%
E01010302," £3,156.45 ",11.75%
E01010250," £2,687.03 ",6.88%
E01010304," £2,653.80 ",7.74%
E01010096," £2,822.55 ",10.28%
E01010092," £2,949.64 ",9.32%
E01009966," £3,521.54 ",11.90%
E01009960," £3,212.36 ",12.47%
E01009962," £3,593.51 ",15.96%
E01009963," £3,393.78 ",13.79%
E01009967," £2,987.56 ",9.41%
E01009965," £3,896.97 ",14.33%
E01009964," £3,659.53 ",14.78%
E01009961," £2,699.87 ",7.23%
E01010085," £2,806.35 ",7.56%
E01010090," £2,963.17 ",12.13%
E01010089," £3,385.14 ",11.76%
E01010309," £3,195.21 ",10.88%
E01010313," £3,458.29 ",12.49%
E01010310," £3,375.49 ",10.15%
E01010311," £3,090.01 ",9.80%
E01010263," £3,272.74 ",9.55%
E01010264," £3,075.13 ",10.51%
E01010312," £3,349.72 ",12.29%
E01010265," £3,407.34 ",12.53%
E01010262," £3,105.64 ",10.13%
E01010315," £2,984.09 ",9.54%
E01010316," £3,558.63 ",13.66%
E01010314," £3,129.67 ",12.63%
E01010091," £2,948.88 ",9.46%
E01010088," £3,383.94 ",12.42%
E01010087," £3,203.21 ",10.44%
E01010086," £3,318.66 ",11.53%
E01010252," £2,909.73 ",8.45%
E01010307," £2,815.16 ",6.32%
E01010251," £2,477.35 ",4.49%
E01010303," £2,833.43 ",7.96%
E01010301," £3,082.46 ",11.10%
E01010245," £2,433.13 ",5.15%
E01010247," £2,754.99 ",6.77%
E01010248," £2,315.43 ",4.42%
E01010241," £2,341.88 ",5.31%
E01010244," £3,222.19 ",11.22%
E01010246," £2,755.30 ",6.22%
E01010243," £2,712.74 ",7.35%
E01010257," £2,596.07 ",5.82%
E01010256," £2,683.48 ",7.49%
E01010242," £2,889.06 ",10.22%
E01010255," £2,474.95 ",5.63%
E01010249," £2,959.28 ",7.90%
E01010253," £2,921.32 ",9.71%
E01010254," £3,014.18 ",8.62%
E01010472," £2,967.25 ",11.07%
E01034312," £2,311.98 ",9.37%
E01034313," £2,783.16 ",9.53%
E01010528," £2,792.21 ",12.86%
E01010444," £2,728.05 ",9.84%
E01010445," £2,966.71 ",10.53%
E01010447," £2,675.07 ",9.66%
E01010446," £2,781.97 ",8.78%
E01010443," £3,105.07 ",11.58%
E01010448," £2,878.39 ",10.82%
E01010442," £2,907.77 ",10.22%
E01010530," £3,121.84 ",11.71%
E01010529," £3,024.23 ",12.05%
E01010508," £2,685.23 ",9.45%
E01010511," £2,958.36 ",8.93%
E01010526," £3,623.26 ",13.64%
E01010471," £2,926.92 ",13.66%
E01010478," £3,345.21 ",12.72%
E01010473," £2,776.18 ",15.83%
E01010477," £3,060.19 ",10.81%
E01010476," £2,733.09 ",11.04%
E01010460," £2,646.56 ",7.12%
E01010480," £3,017.07 ",9.25%
E01010479," £2,984.06 ",9.30%
E01010459," £2,916.89 ",7.90%
E01010461," £2,790.96 ",6.70%
E01010564," £3,003.14 ",8.22%
E01034311," £2,923.98 ",7.09%
E01010434," £2,955.43 ",9.45%
E01010436," £2,414.40 ",5.82%
E01010441," £2,920.14 ",9.95%
E01010503," £2,721.25 ",8.81%
E01010502," £2,810.96 ",6.83%
E01010495," £2,805.78 ",9.24%
E01010499," £3,010.34 ",7.95%
E01034310," £3,094.36 ",9.15%
E01010522," £3,167.92 ",11.48%
E01010438," £2,579.76 ",7.48%
E01010500," £3,225.17 ",10.04%
E01010501," £2,751.27 ",8.27%
E01010439," £2,989.20 ",9.42%
E01010440," £2,772.34 ",9.75%
E01010457," £2,653.88 ",7.21%
E01010481," £3,099.88 ",10.96%
E01010482," £3,171.36 ",12.45%
E01010456," £3,334.69 ",13.39%
E01010462," £2,794.85 ",9.83%
E01010437," £2,289.47 ",4.95%
E01010485," £3,373.52 ",11.60%
E01010484," £3,120.10 ",11.19%
E01010483," £3,351.86 ",13.69%
E01010486," £3,235.41 ",13.20%
E01010458," £2,772.84 ",9.59%
E01010475," £2,831.52 ",7.78%
E01010566," £2,898.94 ",8.16%
E01010474," £2,711.78 ",8.02%
E01010562," £2,637.76 ",8.48%
E01010558," £2,727.25 ",7.63%
E01010398," £2,504.91 ",5.04%
E01010400," £2,914.07 ",12.61%
E01010555," £2,543.12 ",9.23%
E01010560," £2,794.64 ",9.56%
E01010559," £2,773.34 ",9.80%
E01010557," £2,664.42 ",7.06%
E01010556," £2,776.83 ",7.66%
E01010554," £2,508.74 ",7.08%
E01010561," £2,814.73 ",6.53%
E01010567," £2,774.48 ",8.62%
E01010563," £2,834.03 ",10.02%
E01010565," £2,576.00 ",6.16%
E01010407," £3,118.40 ",9.25%
E01010382," £2,851.85 ",9.29%
E01010379," £2,638.88 ",6.72%
E01010381," £2,927.97 ",10.06%
E01010383," £2,787.62 ",11.62%
E01010376," £2,571.23 ",6.01%
E01010377," £3,044.98 ",8.51%
E01010380," £2,456.73 ",7.11%
E01010395," £2,486.21 ",5.11%
E01010394," £2,947.02 ",7.64%
E01010399," £2,734.71 ",7.18%
E01010397," £3,475.47 ",11.59%
E01010396," £2,900.89 ",8.77%
E01010393," £2,770.84 ",7.60%
E01010404," £3,183.67 ",10.98%
E01010408," £3,080.68 ",10.23%
E01010403," £3,212.79 ",10.22%
E01010406," £3,093.55 ",10.12%
E01010405," £2,969.02 ",9.21%
E01010418," £2,642.83 ",6.32%
E01010423," £2,928.18 ",11.12%
E01010401," £3,234.20 ",11.70%
E01010424," £2,763.50 ",7.34%
E01010421," £2,958.47 ",9.78%
E01010425," £2,875.68 ",8.84%
E01010414," £2,770.57 ",10.82%
E01010410," £2,842.83 ",9.18%
E01010451," £2,793.29 ",7.66%
E01010450," £2,907.14 ",9.20%
E01010455," £2,974.43 ",10.06%
E01009770," £2,852.80 ",9.80%
E01010412," £2,881.44 ",8.97%
E01010422," £2,764.09 ",7.52%
E01010420," £2,975.77 ",9.99%
E01010419," £2,911.95 ",8.96%
E01010417," £2,711.76 ",10.34%
E01010415," £3,228.56 ",10.05%
E01010416," £2,903.55 ",10.64%
E01009767," £2,644.02 ",8.40%
E01009763," £3,177.84 ",10.24%
E01010413," £2,813.52 ",10.02%
E01010411," £2,940.78 ",7.89%
E01009764," £2,785.76 ",7.57%
E01009765," £2,929.05 ",7.91%
E01009766," £2,967.70 ",9.20%
E01010538," £2,823.54 ",7.73%
E01010531," £3,083.78 ",10.57%
E01009768," £2,939.93 ",9.25%
E01010534," £2,928.99 ",6.41%
E01010454," £3,135.76 ",10.82%
E01034315," £3,141.20 ",9.69%
E01034314," £2,920.39 ",9.61%
E01010449," £2,921.09 ",9.63%
E01010452," £2,779.92 ",9.70%
E01010433," £3,049.66 ",10.98%
E01010428," £3,281.57 ",12.40%
E01010430," £3,118.04 ",11.46%
E01010429," £3,102.85 ",10.39%
E01010427," £2,970.38 ",7.49%
E01010426," £2,773.41 ",8.22%
E01010519," £2,772.58 ",6.07%
E01010467," £2,744.51 ",6.97%
E01010464," £2,632.09 ",12.76%
E01010470," £2,977.57 ",10.02%
E01010466," £3,312.79 ",11.58%
E01010465," £3,274.91 ",9.84%
E01010463," £2,994.95 ",10.37%
E01010468," £2,746.57 ",6.50%
E01010469," £2,672.24 ",6.58%
E01010488," £2,704.86 ",7.05%
E01010493," £2,690.94 ",5.70%
E01010487," £2,633.70 ",5.62%
E01010489," £2,546.83 ",7.16%
E01010518," £2,778.33 ",5.55%
E01010516," £2,777.36 ",5.62%
E01010507," £2,347.97 ",4.95%
E01010504," £2,547.60 ",5.02%
E01010494," £2,843.83 ",5.83%
E01010509," £2,677.51 ",7.99%
E01010552," £2,641.08 ",6.82%
E01010550," £2,223.25 ",3.77%
E01010505," £2,500.71 ",5.22%
E01010506," £2,726.57 ",8.15%
E01010512," £2,634.36 ",6.92%
E01010490," £2,673.12 ",12.02%
E01010513," £2,456.49 ",5.20%
E01010517," £2,732.48 ",6.75%
E01010514," £2,527.89 ",5.27%
E01010492," £2,642.88 ",5.75%
E01010491," £2,908.53 ",8.26%
E01010432," £2,960.77 ",7.18%
E01010431," £3,160.44 ",7.10%
E01010520," £2,569.95 ",5.64%
E01010515," £2,661.44 ",5.57%
E01010533," £2,939.64 ",10.06%
E01010536," £2,698.48 ",6.81%
E01010535," £3,014.58 ",10.61%
E01010537," £2,563.55 ",7.17%
E01010510," £2,544.94 ",6.99%
E01010524," £2,895.24 ",10.50%
E01010525," £3,265.40 ",10.31%
E01010523," £2,855.01 ",8.60%
E01010527," £3,059.09 ",13.67%
E01010547," £2,586.23 ",6.07%
E01010546," £2,439.71 ",3.99%
E01010551," £2,571.91 ",5.66%
E01010549," £2,608.92 ",6.29%
E01010548," £2,512.60 ",6.78%
E01010553," £2,600.02 ",5.62%
E01010540," £2,349.38 ",4.97%
E01010539," £2,817.89 ",6.97%
E01010544," £2,450.67 ",5.48%
E01010545," £2,788.13 ",6.39%
E01010542," £2,817.66 ",6.99%
E01010541," £2,763.82 ",11.16%
E01010543," £2,920.77 ",10.48%
E01010496," £2,882.24 ",9.28%
E01010497," £2,425.53 ",5.57%
E01010498," £2,503.14 ",6.52%
